dataset_id	id	acceptedNameUsage	acceptedNameUsageID	accessRights	aphiaid	areas	associatedMedia	associatedOccurrences	associatedOrganisms	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bathymetry	bed	behavior	bibliographicCitation	brackish	caste	catalogNumber	class	classid	collectionCode	collectionID	continent	coordinatePrecision	coordinateUncertaintyInMeters	country	countryCode	county	cultivarEpithet	dataGeneralizations	datasetID	datasetName	dateIdentified	date_end	date_mid	date_start	date_year	day	decimalLatitude	decimalLongitude	degreeOfEstablishment	depth	disposition	division	divisionid	domain	domainid	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	eventType	family	familyid	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	forma	formaid	formation	genericName	genus	genusid	geodeticDatum	geologicalContextID	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	gigaclass	gigaclassid	group	hab	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	identifiedByID	individualCount	informationWithheld	infraclass	infraclassid	infragenericEpithet	infrakingdom	infrakingdomid	infraorder	infraorderid	infraphylum	infraphylumid	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	kingdomid	language	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	license	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	marine	materialEntityID	materialEntityRemarks	materialSampleID	maximumDepthInMeters	maximumDistanceAboveSurfaceInMeters	maximumElevationInMeters	megaclass	megaclassid	member	minimumDepthInMeters	minimumDistanceAboveSurfaceInMeters	minimumElevationInMeters	modified	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceID	occurrenceRemarks	occurrenceStatus	order	orderid	organismID	organismName	organismQuantity	organismQuantityType	organismRemarks	organismScope	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentEventID	parentNameUsage	parentNameUsageID	parvorder	parvorderid	parvphylum	parvphylumid	pathway	phylum	phylum_division	phylum_divisionid	phylumid	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	recordedByID	redlist_category	references	reproductiveCondition	rightsHolder	sampleSizeUnit	sampleSizeValue	samplingEffort	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	section	sectionid	sex	shoredistance	species	speciesid	specificEpithet	sss	sst	startDayOfYear	stateProvince	subclass	subclassid	subdivision	subdivisionid	subfamily	subfamilyid	subforma	subformaid	subgenus	subgenusid	subkingdom	subkingdomid	suborder	suborderid	subphylum	subphylum_subdivision	subphylum_subdivisionid	subphylumid	subsection	subsectionid	subspecies	subspeciesid	subterclass	subterclassid	subtribe	subtribeid	subvariety	subvarietyid	superclass	superclassid	superdomain	superdomainid	superfamily	superfamilyid	superorder	superorderid	supertribe	supertribeid	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	tribe	tribeid	type	typeStatus	unaccepted	variety	varietyid	verbatimCoordinateSystem	verbatimCoordinates	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimIdentification	verbatimLabel	verbatimLatitude	verbatimLocality	verbatimLongitude	verbatimSRS	verbatimTaxonRank	vernacularName	verticalDatum	vitality	waterBody	wrims	year	originalScientificName	flags	dropped	absence
31d93350-097e-456c-8e12-8af658c1107b	6d9bb2c5-06f7-4d3c-9b47-eb9cc02d3051				220131	[111, 112, 40032, 34269]							PreservedSpecimen	2.0				false		IO/DV/CAR/00127	Malacostraca	1071	voucher specimen collections					India							2022-08-19	1525305600000	1525305600000	1525305600000	2018		10.86	72.18		6.0														2018-05-03					Palaemonidae	106788										Harpiliopsis	204789													Benthic							Holthuis, L. B. (1952). A general revision of the Palaemonidae (crustacea Decapod Natantia) of the Americas. II. The subfamily Palaemonidae. The University of Southern California Press Los Angeles, California, 332			P. Purushothaman, CMLRE		1							Caridea	106674				CMLRE				Animalia	2								Adult		Agatti Island, Lakshadweep					true				10.0						2.0													IO/DV/CAR/00127		present	Decapoda	1130										CMLRE									Arthropoda			1065														SCUBA Diving	Harpiliopsis depressa		urn:lsid:marinespecies.org:taxname:220131			Female	1188.0	Harpiliopsis depressa	220131		35.23	28.79			Eumalacostraca	1086											Pleocyemata	106670	Crustacea			1066											Multicrustacea	845959			Palaemonoidea	106715	Eucarida	1089																														Arabian Sea			Harpiliopsis depressa	[]	false	false
31d93350-097e-456c-8e12-8af658c1107b	0422acd0-661e-4b8d-9189-7d3f06d7a68d				210450	[111, 112, 40032, 34269]							PreservedSpecimen	2.0				false		IO/DV/CAR/00128	Malacostraca	1071	voucher specimen collections					India							2022-08-19	1525305600000	1525305600000	1525305600000	2018		10.86	72.18		6.0														2018-05-03					Hippolytidae	106777										Saron	206362													Benthic							Baby, S. T., Ghosh, S., Mohan, G., Cubelio, S. S., & Sudhakar, M. (2016). Occurrence of Marbled Shrimp Saron marmoratus (Olivier, 1811)(Decapoda: Caridea: Hippolytidae) in Lakshadweep Archipelago, India. In Proceedings of the Zoological Society (Vol. 69, No. 1, pp. 157-160). Springer India.			P. Purushothaman, CMLRE		1							Caridea	106674				CMLRE				Animalia	2								Adult		Agatti Island, Lakshadweep					true				10.0						2.0													IO/DV/CAR/00128		present	Decapoda	1130										CMLRE									Arthropoda			1065														SCUBA Diving	Saron marmoratus		urn:lsid:marinespecies.org:taxname:210450			Female	1188.0	Saron marmoratus	210450		35.23	28.79			Eumalacostraca	1086											Pleocyemata	106670	Crustacea			1066											Multicrustacea	845959			Alpheoidea	106709	Eucarida	1089																														Arabian Sea	true		Saron marmoratus	[]	false	false
31d93350-097e-456c-8e12-8af658c1107b	80c30d5b-5783-4371-a6fc-20f2f45c36cb				210623	[111, 112, 40032, 34269]							PreservedSpecimen	2.0				false		IO/DV/CAR/00129	Malacostraca	1071	voucher specimen collections					India							2022-08-19	1525305600000	1525305600000	1525305600000	2018		10.86	72.18		6.0														2018-05-03					Palaemonidae	106788										Coralliocaris	205153													Benthic							Bruce, A. J. (1993). Some coral reef pontoniine shrimps from Vietnam. Asian Marine Biology, 10, 55-75.			P. Purushothaman, CMLRE		1							Caridea	106674				CMLRE				Animalia	2								Adult		Agatti Island, Lakshadweep					true				10.0						2.0													IO/DV/CAR/00129		present	Decapoda	1130										CMLRE									Arthropoda			1065														SCUBA Diving	Coralliocaris superba		urn:lsid:marinespecies.org:taxname:210623			Female	1188.0	Coralliocaris superba	210623		35.23	28.79			Eumalacostraca	1086											Pleocyemata	106670	Crustacea			1066											Multicrustacea	845959			Palaemonoidea	106715	Eucarida	1089																														Arabian Sea			Coralliocaris superba	[]	false	false
31d93350-097e-456c-8e12-8af658c1107b	bf8a7b9c-c894-402a-8800-aed5b69b88f8				210623	[111, 112, 40032, 34269]							PreservedSpecimen	2.0				false		IO/DV/CAR/00130	Malacostraca	1071	voucher specimen collections					India							2022-08-19	1525305600000	1525305600000	1525305600000	2018		10.86	72.18		6.0														2018-05-03					Palaemonidae	106788										Coralliocaris	205153													Benthic							Bruce, A. J. (1993). Some coral reef pontoniine shrimps from Vietnam. Asian Marine Biology, 10, 55-75.			P. Purushothaman, CMLRE		3							Caridea	106674				CMLRE				Animalia	2								Adult		Agatti Island, Lakshadweep					true				10.0						2.0													IO/DV/CAR/00130		present	Decapoda	1130										CMLRE									Arthropoda			1065														SCUBA Diving	Coralliocaris superba		urn:lsid:marinespecies.org:taxname:210623			Male	1188.0	Coralliocaris superba	210623		35.23	28.79			Eumalacostraca	1086											Pleocyemata	106670	Crustacea			1066											Multicrustacea	845959			Palaemonoidea	106715	Eucarida	1089																														Arabian Sea			Coralliocaris superba	[]	false	false
31d93350-097e-456c-8e12-8af658c1107b	daccd2ad-1fc3-4901-8399-c8804bc56a6b				1306667	[111, 112, 10011, 40032, 34269]							PreservedSpecimen	176.0						IO/DV/ECD/00232	Ophiuroidea	123084	voucher specimen collections					India							2020-06-12	1559001600000	1559001600000	1559001600000	2019		10.861	72.21		24.0														2019-05-28			11:00:00		Ophiocomidae	152490										Ophiomastix	204164													Benthic							Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.			Usha VP, CMLRE		1		Metophiurida	1062634									CMLRE				Animalia	2								Adult		Agatti, Lakshadweep					true				24.0						24.0													IO/DV/ECD/00232		present	Ophiacanthida	1062662										CMLRE									Echinodermata			1806														SCUBA Diving	Ophiomastix elegans		urn:lsid:marinespecies.org:taxname:1306667				1082.0	Ophiomastix elegans	1306667		35.23	28.79			Myophiuroida	1416548											Ophiodermatina	368125	Asterozoa			148743															Ophiocomoidea	1075318	Ophintegrida	1062660																														Arabian Sea			Ophiomastix elegans	[]	false	false
31d93350-097e-456c-8e12-8af658c1107b	f3faeccb-634f-43db-b975-ba02fbe9c30f				213217	[111, 112, 10011, 40032, 34269]							PreservedSpecimen	154.0				false		IO/DV/ECD/00233	Ophiuroidea	123084	voucher specimen collections					India							2020-06-12	1572998400000	1572998400000	1572998400000	2019		10.866	72.207		20.0														2019-11-06			14:00:00		Ophiodermatidae	123197										Ophiarachnella	123545													Benthic							Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.			Usha VP, CMLRE		1		Metophiurida	1062634									CMLRE				Animalia	2								Adult		Agatti, Lakshadweep					true				20.0						20.0													IO/DV/ECD/00233		present	Ophiacanthida	1062662										CMLRE									Echinodermata			1806														SCUBA Diving	Ophiarachnella septemspinosa		urn:lsid:marinespecies.org:taxname:213217				521.0	Ophiarachnella septemspinosa	213217		35.23	28.79			Myophiuroida	1416548											Ophiodermatina	368125	Asterozoa			148743															Ophiodermatoidea	1062664	Ophintegrida	1062660																														Arabian Sea			Ophiarachnella septimspinosa	[]	false	false
31d93350-097e-456c-8e12-8af658c1107b	bd772d51-c688-4e9f-afb3-38dce8bc2cec				244144	[111, 112, 10011, 40032, 34269]							PreservedSpecimen	154.0				false		IO/DV/ECD/00315	Ophiuroidea	123084	voucher specimen collections					India							2020-10-09	1572998400000	1572998400000	1572998400000	2019		10.866	72.207		20.0														2019-11-06			14:00:00		Ophiotrichidae	123208										Ophiothrix	123626													Benthic							Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.			Usha VP, CMLRE		1		Metophiurida	1062634									CMLRE				Animalia	2								Adult		Agatti, Lakshadweep					true				20.0						20.0													IO/DV/ECD/00315		present	Amphilepidida	1062666										CMLRE									Echinodermata			1806														SCUBA Diving	Ophiothrix (Acanthophiothrix) purpurea		urn:lsid:marinespecies.org:taxname:244144				521.0	Ophiothrix (Acanthophiothrix) purpurea	244144		35.23	28.79			Myophiuroida	1416548							Ophiothrix (Acanthophiothrix)	242555			Gnathophiurina	196221	Asterozoa			148743															Ophiactoidea	1079036	Ophintegrida	1062660																														Arabian Sea			Ophiothrix (Acanthophiothrix) purpurea	[]	false	false
31d93350-097e-456c-8e12-8af658c1107b	b20b2ef3-545f-411e-8f11-4e92714ce009				1306667	[111, 112, 10011, 40032, 34269]							PreservedSpecimen	154.0						IO/DV/ECD/00336	Ophiuroidea	123084	voucher specimen collections					India							2020-10-13	1572998400000	1572998400000	1572998400000	2019		10.866	72.207		20.0														2019-11-06			14:00:00		Ophiocomidae	152490										Ophiomastix	204164													Benthic							Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.			Usha VP, CMLRE		1		Metophiurida	1062634									CMLRE				Animalia	2								Adult		Agatti, Lakshadweep					true				20.0						20.0													IO/DV/ECD/00336		present	Ophiacanthida	1062662										CMLRE									Echinodermata			1806														SCUBA Diving	Ophiomastix elegans		urn:lsid:marinespecies.org:taxname:1306667				521.0	Ophiomastix elegans	1306667		35.23	28.79			Myophiuroida	1416548											Ophiodermatina	368125	Asterozoa			148743															Ophiocomoidea	1075318	Ophintegrida	1062660																														Arabian Sea			Ophiomastix elegans	[]	false	false
31d93350-097e-456c-8e12-8af658c1107b	1ceb71f8-ea9b-464f-b3c9-8a83eff3c114				367877	[111, 112, 10011, 40032, 34269]							PreservedSpecimen	176.0				false		IO/DV/ECD/00350	Crinoidea	123081	voucher specimen collections					India							2020-11-24	1559001600000	1559001600000	1559001600000	2019		10.861	72.21		24.0														2019-05-28			11:00:00		Himerometridae	196174										Himerometra	367876													Benthic							Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.			Usha VP, CMLRE		1												CMLRE				Animalia	2								Adult		Agatti, Lakshadweep					true				24.0						24.0													IO/DV/ECD/00350		present	Comatulida	123093										CMLRE									Echinodermata			1806														SCUBA Diving	Himerometra robustipinna		urn:lsid:marinespecies.org:taxname:367877				1082.0	Himerometra robustipinna	367877		35.23	28.79			Articulata	183494													Crinozoa			147423															Himerometroidea	828452																																Arabian Sea			Himerometra robustipinna	[]	false	false
31d93350-097e-456c-8e12-8af658c1107b	08c0b0d4-283f-46e6-a7c1-556bbe58cfa5				213596	[111, 112, 10011, 40032, 34269]							PreservedSpecimen	176.0				false		IO/DV/ECD/00351	Crinoidea	123081	voucher specimen collections					India							2020-11-24	1559001600000	1559001600000	1559001600000	2019		10.861	72.21		24.0														2019-05-28			11:00:00		Mariametridae	196175										Dichrometra	206304													Benthic							Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.			Usha VP, CMLRE		2												CMLRE				Animalia	2								Adult		Agatti, Lakshadweep					true				24.0						24.0													IO/DV/ECD/00351		present	Comatulida	123093										CMLRE									Echinodermata			1806														SCUBA Diving	Dichrometra palmata		urn:lsid:marinespecies.org:taxname:213596				1082.0	Dichrometra palmata	213596		35.23	28.79			Articulata	183494													Crinozoa			147423															Himerometroidea	828452																																Arabian Sea			Dichrometra palmata	[]	false	false
