ISSCAP CODE,Species,Category,Source,Family,SpcID,StudyLocality,Region,StartYear,EndYear,Gear,GScore,GRank,Sex,K,KRank,M,F,Z,Tzero,ExpRate,ERRank,LenYear1,LenYear2,LenYear3,LenYear4,Yield,FecundityMin,FecundityMax,Fecundity,FcRank,MeanSizeMin,MeanSizeMax,MeanSize,LengthRangeMin,LengthRangeMax,Lr,Linf,LinfRank,MeanSizeByLinf,MeanSizeByLm,LrByLinf,LrRank,LmMin,LmMax,Lm,LmBL,LmRank,SpawningSeason,NumSpawningMonths,NSMRank,Dist,DistRank,MTL,MTLRank,BLD,BLDRank,CPI,CPIRank,PriceRank,RankTotal
37.0,Caranx carangus,LD,"IJF 1992 39 (3,4) Reuben et al",CARANGIDAE,,"Tamilnadu,Pon",SE,1981.0,1988.0,,10.3,4,C,0.65,3,0.95,3.56,4.51,0.0,0.7893569,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372344,6.0,0.0,0.0,0.0,0.0,0.0,60.0,444.0,4,0.0,0.0,0.135135135135135,6,0.0,0.0,0,0.0,0,"November,April",2,6.0,96.3,6,3.5,3,2.8,1,81.5,1,3,48.0
34.0,Tachysurus serratus,LD,"Bull.40 CMFRI, 1987",ARIIDAE,,Cochin,SW,1981.0,1981.0,"TRAWL,PS, GILLNET",14.4,5,C,0.25,1,0.21,2.63,2.83,0.0,0.9293287,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,1.0,0.0,0.0,0.0,0.0,0.0,200.0,1100.0,1,0.0,0.0,0.181818181818182,6,0.0,0.0,0,0.0,0,,0,0.0,100.0,6,3.44,4,4.2,2,662.8,6,4,42.0
37.0,Caranx carangus,LD,"JMBA 1994,36(1&2) Kasim",CARANGIDAE,,Tuticorin,SE,1981.0,1983.0,Trawlnet,10.3,4,C,0.7689,3,1.18,5.36,6.54,0.0,0.8195719,6.0,288.0,394.0,449.0,479.0,0.0,0.0,0.0,372344,6.0,0.0,0.0,0.0,0.0,0.0,95.8,498.0,4,0.0,0.0,0.192369477911647,6,0.0,0.0,0,0.0,0,,2,6.0,96.3,6,3.5,3,2.8,1,81.5,1,3,49.0
37.0,Caranx carangus,LD,"JMBA 1994,36(1&2) Kasim",CARANGIDAE,,Tuticorin,SE,1981.0,1983.0,Gillnet,10.3,4,C,0.7689,3,1.18,2.74,3.92,0.0,0.6989796,4.0,288.0,394.0,449.0,479.0,0.0,0.0,0.0,372344,6.0,0.0,0.0,0.0,0.0,0.0,95.8,498.0,4,0.0,0.0,0.192369477911647,6,0.0,0.0,0,0.0,0,,2,6.0,96.3,6,3.5,3,2.8,1,81.5,1,3,47.0
38.0,Carcharhinus limbatus,LD,Trophic  Modelling of Arabian Sea of Karnataka,CARCHARHINIDAE,48.0,Mangalore,SW,2000.0,2001.0,Gillnet,10.5,4,C,0.92,4,1.19,3.62,4.81,0.0,0.7525988,5.0,,,,,203.0,1.0,10.0,10,1.0,,,829.0,,,560.0,1140.0,1,0.728070175438597,1.40677966101695,0.491228070175439,3,,,580,0.508771929824561,6,,0,0.0,83.4,6,4.45,2,5.0,2,662.8,6,6,46.0
38.0,Carcharhinus sorrah,LD,"Kasim, AFSIB, 1996",CARCHARHINIDAE,52.0,Tuticorin,SE,1990.0,1993.0,"Gillnet, Hooks&line",10.5,4,F,0.33,2,0.54,4.36,4.9,0.0,0.8897959,6.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1658.0,1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,,0,0.0,41.94,3,4.15,2,4.54545454545455,2,81.5,1,6,28.0
38.0,Carcharhinus sorrah,LD,"Kasim, AFSIB, 1996",CARCHARHINIDAE,52.0,Tuticorin,SE,1990.0,1993.0,"Gillnet, Hooks&line",10.5,4,M,0.33,2,0.63,2.37,3.0,0.0,0.79,5.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1658.0,1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,,0,0.0,41.94,3,4.15,2,4.54545454545455,2,81.5,1,6,27.0
38.0,Rhizoprionodon acutus,LD,JMBAI 1991 33: 213-228 Kasim,CARCHARHINIDAE,101.0,Veraval,NW,1981.0,1984.0,Gillnet,7.2,2,F,0.65,3,1.01,1.7,2.71,0.0,0.6273063,4.0,502.0,758.0,897.0,973.0,0.0,3.0,5.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.0,1,,,0.0,0,0.0,0.0,0,,0,,0,0.0,17.63,1,4.45,2,5.62,3,298.6,4,6,27.0
38.0,Rhizoprionodon acutus,LD,Trophic  Modelling of Arabian Sea of Karnataka,CARCHARHINIDAE,101.0,Manglore Malpe,SW,1999.0,2001.0,Gillnet,7.2,2,C,0.81,3,1.15,1.01,2.16,0.0,0.4675926,2.0,,,,,100.0,3.0,5.0,5,1.0,,,592.0,,,275.0,960.0,2,0.617,1.177,0.286458333333333,5,,,503,0.523958333333333,6,,0,0.0,17.63,1,4.45,2,5.62,3,662.8,6,6,39.0
38.0,Rhizoprionodon acutus,LD,JMBAI 1991 33: 213-228 Kasim,CARCHARHINIDAE,101.0,Veraval,NW,1981.0,1984.0,Gillnet,7.2,2,M,0.61,3,1.12,3.63,4.78,0.0,0.7594142,5.0,592.0,774.0,907.0,977.0,0.0,3.0,5.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.0,1,,,0.0,0,0.0,0.0,0,,0,,0,0.0,17.63,1,4.45,2,5.62,3,298.6,4,6,28.0
38.0,Rhizoprionodon acutus,LD,"IJF 1986,33(4) KRISHNAMOORTHY ET AL",CARCHARHINIDAE,101.0,Chennai,SE,1984.0,1984.0,Gillnet,7.2,2,C,0.2,1,0.298,0.1425,0.4407,0.0,0.3233492,1.0,417.0,523.0,609.0,680.0,0.0,2.0,6.0,6,1.0,0.0,0.0,0.0,0.0,0.0,144.0,1000.0,2,0.0,0.0,0.144,6,0.0,0.0,650,0.65,4,,0,0.0,17.63,1,4.45,2,5.62,3,81.5,1,6,30.0
38.0,Scoliodon laticaudus,SD,Trophic  Modelling of Arabian Sea of Karnataka,CARCHARHINIDAE,106.0,Manglore Malpe,SW,2000.0,2001.0,Gillnet,11.0,4,C,0.45,2,0.74,1.76,2.5,0.0,0.704,5.0,,,,,71.0,3.0,8.0,8,1.0,,,570.0,,,340.0,1180.0,1,0.483050847,0.93442623,0.288135593220339,5,,,606,0.513559322033898,6,"Mar, Sep, Oct, Nov, Dec",5,4.0,88.82,6,4.45,2,5.85,3,662.8,6,4,49.0
38.0,Scoliodon laticaudus,SD,"IJF 45: 29-34, Devadas, 1998",CARCHARHINIDAE,106.0,Calicut,SW,1977.0,1981.0,Trawlnet,11.0,4,M,0.36,2,0.72,0.73,1.45,0.0,0.5034482,3.0,321.0,439.0,518.0,570.0,0.0,3.0,8.0,8,1.0,0.0,0.0,0.0,0.0,0.0,340.0,715.0,3,0.0,0.0,0.475524475524476,3,0.0,0.0,606,0.847552447552448,1,,5,4.0,88.82,6,4.45,2,5.85,3,662.8,6,4,42.0
38.0,Scoliodon laticaudus,SD,"IJF 45: 29-34, Devadas, 1998",CARCHARHINIDAE,106.0,Calicut,SW,1977.0,1981.0,Trawlnet,11.0,4,F,0.41,2,0.72,0.73,1.45,0.0,0.5034482,3.0,310.0,432.0,518.0,576.0,0.0,3.0,8.0,8,1.0,0.0,0.0,0.0,0.0,0.0,340.0,676.0,3,0.0,0.0,0.502958579881657,2,0.0,0.0,606,0.896449704142012,1,,5,4.0,88.82,6,4.45,2,5.85,3,662.8,6,4,41.0
38.0,Scoliodon laticaudus,SD,JMBAI 1991 33: 213-228 Kasim,CARCHARHINIDAE,106.0,Veraval,NW,1981.0,1984.0,Trawlnet,11.0,4,M,1.08,4,1.76,1.35,3.11,0.0,0.4340836,2.0,453.0,603.0,655.0,0.0,0.0,3.0,8.0,8,1.0,0.0,0.0,0.0,0.0,0.0,262.0,680.0,3,0.0,0.0,0.385294117647059,4,0.0,0.0,375,0.551470588235294,5,,0,0.0,88.82,6,4.45,2,5.85,3,298.6,4,4,42.0
38.0,Scoliodon laticaudus,SD,PhD thesis Univ Mumbai CJ Mathew 1992,CARCHARHINIDAE,106.0,Maharashtra,NW,1986.0,1988.0,Trawlnet,11.0,4,C,0.68,3,1.95,2.2,4.15,0.0,0.5301205,3.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,8,1.0,0.0,0.0,0.0,0.0,0.0,262.0,740.0,3,0.0,0.0,0.354054054054054,4,0.0,0.0,375,0.506756756756757,6,,0,0.0,88.82,6,4.45,2,5.85,3,298.6,4,4,43.0
